,subject,danish,trial,colour1,colour2,col1_name,col2_name,colour_distance,category,accuracy,rt
40,PernilleKJ,Yes,41,"[1, -0.85, -0.7]","[1, -0.32500000000000007, 0.34999999999999987]",red,pink,1.0499999999999998,across,1,666.8433959712274
41,PernilleKJ,Yes,42,"[1, -0.625, -0.25]","[1, -0.4, 0.19999999999999996]",pink,pink,0.44999999999999996,within,1,505.6254960363731
42,PernilleKJ,Yes,43,"[1, -0.4, 0.19999999999999996]","[1, -0.475, 0.050000000000000044]",pink,pink,0.1499999999999999,within,1,596.8966989894398
43,PernilleKJ,Yes,44,"[1, -0.775, -0.55]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.8999999999999999,within,1,661.3150910125114
44,PernilleKJ,Yes,45,"[1, -0.625, -0.25]","[1, -0.7, -0.4]",pink,pink,0.15000000000000002,within,1,689.1566889826208
45,PernilleKJ,Yes,46,"[1, -0.85, -0.7]","[1, -1.0, -1.0]",red,red,0.30000000000000004,within,1,755.0330620142631
46,PernilleKJ,Yes,47,"[1, -0.55, -0.10000000000000009]","[1, -0.925, -0.85]",pink,red,0.7499999999999999,across,1,792.8328860434704
47,PernilleKJ,Yes,48,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.55, -0.10000000000000009]",pink,pink,0.44999999999999996,within,1,638.1491729989648
48,PernilleKJ,Yes,49,"[1, -0.7, -0.4]","[1, -1.0, -1.0]",pink,red,0.6,across,1,562.7844880218618
49,PernilleKJ,Yes,50,"[1, -0.7, -0.4]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.7499999999999999,within,1,675.0054850126617
50,PernilleKJ,Yes,51,"[1, -0.85, -0.7]","[1, -0.925, -0.85]",red,red,0.15000000000000002,within,1,755.8638849877752
51,PernilleKJ,Yes,52,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.4, 0.19999999999999996]",pink,pink,0.1499999999999999,within,1,1022.3903029691428
52,PernilleKJ,Yes,53,"[1, -0.4, 0.19999999999999996]","[1, -0.775, -0.55]",pink,pink,0.75,within,1,494.38911699689925
53,PernilleKJ,Yes,54,"[1, -1.0, -1.0]","[1, -0.55, -0.10000000000000009]",red,pink,0.8999999999999999,across,1,910.5404749861918
54,PernilleKJ,Yes,55,"[1, -0.775, -0.55]","[1, -0.4, 0.19999999999999996]",pink,pink,0.75,within,1,560.1949010160752
55,PernilleKJ,Yes,56,"[1, -0.55, -0.10000000000000009]","[1, -0.625, -0.25]",pink,pink,0.1499999999999999,within,1,1029.3238509912044
56,PernilleKJ,Yes,57,"[1, -0.7, -0.4]","[1, -0.775, -0.55]",pink,pink,0.15000000000000002,within,1,733.6261610034853
57,PernilleKJ,Yes,58,"[1, -0.7, -0.4]","[1, -0.475, 0.050000000000000044]",pink,pink,0.45000000000000007,within,1,798.8554749754258
58,PernilleKJ,Yes,59,"[1, -0.475, 0.050000000000000044]","[1, -0.85, -0.7]",pink,red,0.75,across,1,746.1562959942967
59,PernilleKJ,Yes,60,"[1, -0.925, -0.85]","[1, -0.625, -0.25]",red,pink,0.6,across,1,620.2490929863416
